,authors,title,year,journal,Target condition or disease,condition,diagnosis_or_prognosis,modalities,added_value,dataset_origin,Sample size (Train),Sample size (Test),total_data,centers_characteristics,evaluation_method,"Algorithm mono used (SVM, RF, NN, CNN, etc.)",Algorithm multi used (uni included if late or hybrid fusion),algorithms_used,fusion_method,evaluation_metric,unimodal_best_score,multimodal_best_score,delta,legal_status,medical_device_regulation,medico_economic_evaluation
TRUE,Gu Y & al.,Speech Intention Classification with Multimodal Deep Learning.,2017,Advances in artificial intelligence. Canadian Society for Computational Studies of Intelligence. Conference,"speech, classification",all conditions,Diagnosis / Identification,"Free text, Signal",HIGH,USA,5139,1285,6424,Monocentric,Split-sample validation (1 seul split train/test),"CNN, U-Net","Neural network, FC Net",Neuralnetwork,Late fusion,Accuracy,"0,5964","0,831","0,2346",No,No,No
TRUE,Tian Z & al.,Predicting the diabetic foot in the population of type 2 diabetes mellitus from tongue images and clinical information using multi-modal deep learning.,2024,Frontiers in Physiology,"diabetes, cardiovascular",cardiovascular,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",,China,311,80,391,Monocentric,Split-sample validation (1 seul split train/test),ResNet-50,"resnet, FC Layer",Neuralnetwork,Late fusion,Accuracy,"0,925","0,95","0,025",N/A,No,No
TRUE,Lee C & al.,Multimodal deep learning models utilizing chest X-ray and electronic health record data for predictive screening of acute heart failure in emergency department.,2024,Computer Methods and Programs in Biomedicine,"cardiovascular, Heart Failure",cardiovascular,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",,China,,,1432,Bicentric,"""Repeated split-sample validation (bootstrap, cross-validation, etc.)""",DenseNet121,DenseNet121,Neuralnetwork,Late fusion,AUC,"0,8634","0,8861","0,0227",No,No,No
TRUE,Miura T & al.,Multimodal deep-learning model using pre-treatment endoscopic images and clinical information to predict efficacy of neoadjuvant chemotherapy in esophageal squamous cell carcinoma.,2025,Esophagus,cancer,cancer,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",,Japan,,,170,Monocentric,"""Repeated split-sample validation (bootstrap, cross-validation, etc.)""",ResNet-50,"FC Net, ResNet-50",Neuralnetwork,Hybrid fusion,AUC,"0,64","0,77","0,13",on demand,No,No
TRUE,"Azher Z & al.
",Assessment of emerging pretraining strategies in interpretable multimodal deep learning for cancer prognostication.,2023,BioData mining,"cancer, bladder cancer, Breast cancer, head and neck cancer, renal clear cell cancer, liver cancer, melanoma, pancreatic cancer, lung cancer, renal cancer",cancer,Severity / Prognosis / Prediction,"Omics, Image",HIGH,USA,"3353,6","838,4",4192,Multicentric,Split-sample validation (1 seul split train/test),"ResNet, Neural network",Neural network,Neuralnetwork,Late fusion,C-index,"0,695","0,748375","0,053375",No,No,No
TRUE,Huang K & al.,Predicting colorectal cancer tumor mutational burden from histopathological images and clinical information using multi-modal deep learning.,2022,"Bioinformatics (Oxford, England)",colorectal cancer,cancer,Diagnosis / Identification,"Free text, Image",HIGH,USA,?,?,631,Multicentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""","ResNet, CNN, VGG, AlexNet, MLP",Neural network,Neuralnetwork,Late fusion,AUC,"0,804","0,817","0,013",repo GH,No,No
TRUE,Shen L & al.,A diagnostic method for cardiomyopathy based on multimodal data.,2023,Biomedizinische Technik. Biomedical engineering,ventricular dysfunction,cardiovascular,Diagnosis / Identification,"Structured/Tabular data, Image",MODERATE,China,NA,NA,1586,Monocentric,Split-sample validation (1 seul split train/test),"CNN, MLP",,Neuralnetwork,Late fusion,Accuracy,"0,8663","0,8972","0,0309",No,No,No
TRUE,Oh S & al.,Deep learning model integrating positron emission tomography and clinical data for prognosis prediction in non-small cell lung cancer patients.,2023,BMC bioinformatics,"cancer, lung cancer",cancer,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",HIGH,South Korea,2149,538,2687,Monocentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""","MLP (Multi-Layer Perceptron), CPH (Cox Proportionnal Hasard), 3D CNN","MLP (Multi-Layer Perceptron), CPH (Cox Proportionnal Hasard), 3D CNN","CPH(CoxProportionnalHasard),Neuralnetwork",Late fusion,C-index,"0,749","0,756","0,007",No,No,No
TRUE,Jujjavarapu C & al.,Predicting decompression surgery by applying multimodal deep learning to patients' structured and unstructured health data.,2023,BMC medical informatics and decision making,"Lumbar Disc Herniation, Lumbar Spinal Stenosis, Back Pain, orthopedia",rheumatology / orthopedics,Severity / Prognosis / Prediction,"Free text, Structured/Tabular data",MODERATE,USA,NA,NA,8387,Multicentric,External validation,"Logistic regression, LASSO","CNN, Neural network, GRU, RNN, Word2vec","Neuralnetwork,Word2vec,Logisticregression,LASSO",Hybrid fusion,AUC,"0,72","0,595","-0,125",repo GH,No,No
TRUE,Zhang K & al.,Predicting multiple sclerosis severity with multimodal deep neural networks.,2023,BMC medical informatics and decision making,"multiple sclerosis, neurology",neurology,Severity / Prognosis / Prediction,"Structured/Tabular data, Image, Free text",HIGH,USA,240,60,300,Monocentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""","ResNet, CNN, GNN (graph neural network)",RNN,Neuralnetwork,Late fusion,AUC,"0,7945","0,838","0,0435",No,No,No
TRUE,Hilbert K & al.,"Separating generalized anxiety disorder from major depression using clinical, hormonal, and structural MRI data: A multimodal machine learning study.",2017,Brain and behavior,"psychiatry, anxiety, depression",psychiatry,Diagnosis / Identification,"Signal, Structured/Tabular data, Image",HIGH,Europe,?,?,57,Monocentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""",SVM,Ensemble,"Ensemble,SVM",Late fusion,Accuracy,"0,96","0,9","-0,06",No,No,No
TRUE,Yao Y & al.,"ICSDA: a multi-modal deep learning model to predict breast cancer recurrence and metastasis risk by integrating pathological, clinical and gene expression data.",2022,Briefings in bioinformatics,"Breast cancer, cancer",cancer,Severity / Prognosis / Prediction,"Structured/Tabular data, Omics, Image",MODERATE,USA,137,59,196,Multicentric,Split-sample validation (1 seul split train/test),"Random Forest, Logistic regression, SVM","resnet-18, CNN, Neural network, Attention, CBLM","Neuralnetwork,CBLM,RandomForest,Logisticregression,SVM",Hybrid fusion,AUC,"0,54","0,75","0,21",repo GH,No,No
TRUE,Li J & al.,Predicting gastric cancer tumor mutational burden from histopathological images using multimodal deep learning.,2023,Briefings in functional genomics,colorectal cancer,cancer,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",HIGH,China,NA,NA,509,Multicentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""","MLP, CNN","MLP, CNN",Neuralnetwork,Late fusion,AUC,"0,793","0,817","0,024",No,No,No
TRUE,Gu T & al.,Classifying Chinese Medicine Constitution Using Multimodal Deep-Learning Model.,2024,Chinese journal of integrative medicine,unbalanced constitutions,all conditions,Diagnosis / Identification,"Signal, Structured/Tabular data, Image",HIGH,China,NA,NA,540,Monocentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""","Neural network, FC Net, VGG16, RNN, GRU, LSTM, restnet-18, VGG","resnet-18, Neural network, FC Net, VGG16, RNN, GRU, LSTM",Neuralnetwork,Late fusion,AUC,"0,822","0,7407","-0,0813",No,No,No
TRUE,Mahootiha M & al.,Multimodal deep learning for personalized renal cell carcinoma prognosis: Integrating CT imaging and clinical data.,2024,Computer methods and programs in biomedicine,renal cancer,cancer,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",HIGH,USA,139,81,244,Multicentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""","3D CNN, EfficientNet B4, FC Net, Random Forest","3D CNN, EfficientNet B4, FC Net, Random Forest","Neuralnetwork,RandomForest",Late fusion,AUC,"0,74","0,8","0,06",Apache License,No,No
TRUE,Kumar S & al.,Ensemble multimodal deep learning for early diagnosis and accurate classification of COVID-19.,2022,Computers & electrical engineering : an international journal,Covid-19,infectious disease,Diagnosis / Identification,"Image, Signal",HIGH,India,?,?,20000,Multicentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""",CNN,Neural network,Neuralnetwork,Late fusion,Accuracy,"0,9835","0,9867","0,0032",No,No,No
